Wave,TAU_spectrpol_S,TAU_spectrpol_P,TAU_spectrpol,TAU_spectr,coat_Rs,coat_Rp,coat_R,echelle_Rs,echelle_Rp,echelle_R,CD_Rs,CD_Rp,CD_R,dDOPED_QE,R_percent,EFF,Read Noise,Sky,Dark,BEF,Disp_Width,XDisp_Width
482.8,0.069945,0.056894,0.065429,0.087597,0.97832,0.97832,0.97832,0.5482,0.49813,0.53549,0.49865,0.44637,0.47753,0.89081,0.908,0.087597,0.0,0.0,5e-06,5.65e-20,3.1,3.1
483.2,0.071816,0.059364,0.067405,0.090242,0.97834,0.97834,0.97834,0.5736,0.53102,0.56271,0.48938,0.43696,0.46821,0.8907,0.908,0.090242,0.0,0.0,5e-06,5.65e-20,3.1,3.1
483.6,0.069957,0.058726,0.065879,0.088198,0.97835,0.97835,0.97835,0.56959,0.53692,0.56119,0.48011,0.42755,0.45889,0.89059,0.908,0.088198,0.0,0.0,5e-06,5.65e-20,3.1,3.1
484.0,0.064201,0.054867,0.060706,0.081271,0.97836,0.97836,0.97836,0.53307,0.51299,0.5279,0.47084,0.41814,0.44958,0.89048,0.908,0.081271,0.0,0.0,5e-06,5.65e-20,3.1,3.1
484.4,0.05862,0.051125,0.055694,0.07456,0.97837,0.97837,0.97837,0.49656,0.48906,0.49461,0.46157,0.40873,0.44026,0.89037,0.908,0.07456,0.0,0.0,5e-06,5.65e-20,3.1,3.1
484.8,0.062659,0.057348,0.060474,0.080958,0.97838,0.97838,0.97838,0.43006,0.43222,0.43067,0.56971,0.51882,0.54907,0.89026,0.908,0.080958,0.0,0.0,5e-06,5.65e-20,3.1,3.1
485.2,0.051172,0.047958,0.049696,0.066528,0.97839,0.97839,0.97839,0.35721,0.3684,0.36023,0.56023,0.5091,0.5395,0.89015,0.908,0.066528,0.0,0.0,5e-06,5.65e-20,3.1,3.1
485.6,0.040169,0.038841,0.039344,0.052669,0.97839,0.97839,0.97839,0.28527,0.30422,0.29038,0.55076,0.49938,0.52994,0.89004,0.908,0.052669,0.0,0.0,5e-06,5.65e-20,3.1,3.1
486.0,0.030241,0.029792,0.029781,0.039867,0.9784,0.9784,0.9784,0.21856,0.23801,0.22388,0.54128,0.48966,0.52038,0.88993,0.908,0.039867,0.0,0.0,5e-06,5.65e-20,3.1,3.1
486.4,0.020641,0.021076,0.020547,0.027506,0.9784,0.9784,0.9784,0.15185,0.1718,0.15737,0.5318,0.47994,0.51081,0.88982,0.908,0.027506,0.0,0.0,5e-06,5.65e-20,3.1,3.1
486.8,0.07284,0.059377,0.06823,0.091335,0.97841,0.97841,0.97841,0.54564,0.49408,0.5326,0.52233,0.47021,0.50125,0.88971,0.908,0.091335,0.0,0.0,5e-06,5.65e-20,3.1,3.1
487.2,0.075123,0.062248,0.070609,0.094518,0.97841,0.97841,0.97841,0.57318,0.52895,0.56193,0.51285,0.46049,0.49168,0.8896,0.908,0.094518,0.0,0.0,5e-06,5.65e-20,3.1,3.1
487.6,0.077274,0.064947,0.072846,0.097511,0.97842,0.97842,0.97842,0.60073,0.56382,0.59127,0.50337,0.45077,0.48212,0.88949,0.908,0.097511,0.0,0.0,5e-06,5.65e-20,3.1,3.1
488.0,0.072908,0.062173,0.06895,0.092295,0.97842,0.97842,0.97842,0.5777,0.55167,0.57101,0.4939,0.44105,0.47256,0.88938,0.908,0.092295,0.0,0.0,5e-06,5.65e-20,3.1,3.1
488.4,0.06709,0.058165,0.063688,0.08525,0.97843,0.97843,0.97843,0.54203,0.52776,0.53836,0.48442,0.43133,0.46299,0.88927,0.908,0.08525,0.0,0.0,5e-06,5.65e-20,3.1,3.1
488.8,0.06912,0.061964,0.066267,0.088701,0.97844,0.97844,0.97844,0.50353,0.50083,0.50283,0.53726,0.48423,0.5158,0.88916,0.908,0.088701,0.0,0.0,5e-06,5.65e-20,3.1,3.1
489.2,0.064294,0.059569,0.062274,0.083355,0.97844,0.97844,0.97844,0.43014,0.43651,0.43186,0.58502,0.53411,0.56438,0.88905,0.908,0.083355,0.0,0.0,5e-06,5.65e-20,3.1,3.1
489.6,0.052494,0.049894,0.051191,0.068519,0.97845,0.97845,0.97845,0.35675,0.37219,0.3609,0.57592,0.52468,0.55515,0.88894,0.908,0.068519,0.0,0.0,5e-06,5.65e-20,3.1,3.1
490.0,0.041285,0.04033,0.040565,0.054295,0.97846,0.97846,0.97846,0.28508,0.30635,0.29082,0.56681,0.51525,0.54593,0.88883,0.908,0.054295,0.0,0.0,5e-06,5.65e-20,3.1,3.1
490.4,0.03082,0.030757,0.030473,0.040787,0.97847,0.97847,0.97847,0.21626,0.23797,0.2222,0.55771,0.50582,0.5367,0.88872,0.908,0.040787,0.0,0.0,5e-06,5.65e-20,3.1,3.1
490.8,0.020673,0.021512,0.020703,0.02771,0.97849,0.97849,0.97849,0.14745,0.16958,0.15359,0.54861,0.49639,0.52748,0.88862,0.908,0.02771,0.0,0.0,5e-06,5.65e-20,3.1,3.1
491.2,0.07667,0.062598,0.071881,0.096207,0.9785,0.9785,0.9785,0.55605,0.50298,0.5427,0.53951,0.48696,0.51825,0.88851,0.908,0.096207,0.0,0.0,5e-06,5.65e-20,3.1,3.1
491.6,0.07958,0.06606,0.074866,0.1002,0.97852,0.97852,0.97852,0.58702,0.54125,0.57544,0.53041,0.47753,0.50903,0.8884,0.908,0.1002,0.0,0.0,5e-06,5.65e-20,3.1,3.1
492.0,0.082347,0.069339,0.077697,0.10399,0.97853,0.97853,0.97853,0.61799,0.57952,0.60817,0.52131,0.4681,0.4998,0.88829,0.908,0.10399,0.0,0.0,5e-06,5.65e-20,3.1,3.1
492.4,0.077002,0.065935,0.072926,0.097602,0.97855,0.97855,0.97855,0.58809,0.56234,0.58151,0.5122,0.45867,0.49058,0.88818,0.908,0.097602,0.0,0.0,5e-06,5.65e-20,3.1,3.1
492.8,0.071161,0.062096,0.067688,0.09059,0.97857,0.97857,0.97857,0.55325,0.54066,0.55002,0.5031,0.44924,0.48135,0.88807,0.908,0.09059,0.0,0.0,5e-06,5.65e-20,3.1,3.1
493.2,0.072668,0.065698,0.069849,0.093481,0.97859,0.97859,0.97859,0.51167,0.51159,0.51165,0.55544,0.50224,0.53391,0.88796,0.908,0.093481,0.0,0.0,5e-06,5.65e-20,3.1,3.1
493.6,0.067522,0.063201,0.065607,0.087802,0.9786,0.9786,0.9786,0.43827,0.4477,0.4408,0.60246,0.55203,0.58201,0.88785,0.908,0.087802,0.0,0.0,5e-06,5.65e-20,3.1,3.1
494.0,0.055382,0.053255,0.054199,0.072534,0.97862,0.97862,0.97862,0.36488,0.38382,0.36996,0.59346,0.54251,0.57281,0.88774,0.908,0.072534,0.0,0.0,5e-06,5.65e-20,3.1,3.1
494.4,0.043813,0.04329,0.043201,0.057815,0.97864,0.97864,0.97864,0.29308,0.31754,0.29968,0.58445,0.53299,0.56361,0.88763,0.908,0.057815,0.0,0.0,5e-06,5.65e-20,3.1,3.1
494.8,0.03289,0.033213,0.032641,0.043682,0.97865,0.97865,0.97865,0.22344,0.24803,0.23016,0.57545,0.52347,0.55441,0.88752,0.908,0.043682,0.0,0.0,5e-06,5.65e-20,3.1,3.1
495.2,0.022285,0.023472,0.022405,0.029983,0.97866,0.97866,0.97866,0.15379,0.17853,0.16064,0.56645,0.51395,0.54521,0.88741,0.90796,0.029983,0.0,0.0,5e-06,5.65e-20,3.1,3.1
495.6,0.079656,0.065483,0.074835,0.10015,0.97868,0.97868,0.97868,0.5586,0.50746,0.54577,0.55744,0.50444,0.53601,0.8873,0.90788,0.10015,0.0,0.0,5e-06,5.65e-20,3.1,3.1
496.0,0.083001,0.069367,0.078242,0.1047,0.97869,0.97869,0.97869,0.59162,0.54791,0.5806,0.54844,0.49492,0.52681,0.88719,0.9078,0.1047,0.0,0.0,5e-06,5.65e-20,3.1,3.1
