Wave,Read Noise,Sky,Dark,BEF,Aeff,Disp_Width,XDisp_Width
236.0,0,2.32e-08,5e-06,5.65e-20,0.155841092117552,3.1,3.1
236.1,0,2.32e-08,5e-06,5.65e-20,0.1559056931796527,3.1,3.1
236.2,0,2.32e-08,5e-06,5.65e-20,0.15597031655619817,3.1,3.1
236.29999999999998,0,2.32e-08,5e-06,5.65e-20,0.1560349622533544,3.1,3.1
236.39999999999998,0,2.32e-08,5e-06,5.65e-20,0.15609963027728818,3.1,3.1
236.49999999999997,0,2.32e-08,5e-06,5.65e-20,0.15616432063416819,3.1,3.1
236.59999999999997,0,2.32e-08,5e-06,5.65e-20,0.15622903333016394,3.1,3.1
236.69999999999996,0,2.32e-08,5e-06,5.65e-20,0.1562937683714465,3.1,3.1
236.79999999999995,0,2.32e-08,5e-06,5.65e-20,0.15635852576418796,3.1,3.1
236.89999999999995,0,2.32e-08,5e-06,5.65e-20,0.15642330551456188,3.1,3.1
236.99999999999994,0,2.32e-08,5e-06,5.65e-20,0.15648810762874327,3.1,3.1
237.09999999999994,0,2.32e-08,5e-06,5.65e-20,0.15655293211290786,3.1,3.1
237.19999999999993,0,2.32e-08,5e-06,5.65e-20,0.15661777897323328,3.1,3.1
237.29999999999993,0,2.32e-08,5e-06,5.65e-20,0.15668264821589792,3.1,3.1
237.39999999999992,0,2.32e-08,5e-06,5.65e-20,0.15674753984708195,3.1,3.1
237.49999999999991,0,2.32e-08,5e-06,5.65e-20,0.15681245387296625,3.1,3.1
237.5999999999999,0,2.32e-08,5e-06,5.65e-20,0.1568773902997335,3.1,3.1
237.6999999999999,0,2.32e-08,5e-06,5.65e-20,0.15694234913356747,3.1,3.1
237.7999999999999,0,2.32e-08,5e-06,5.65e-20,0.15700733038065298,3.1,3.1
237.8999999999999,0,2.32e-08,5e-06,5.65e-20,0.15707233404717663,3.1,3.1
237.9999999999999,0,2.32e-08,5e-06,5.65e-20,0.15713736013932572,3.1,3.1
238.09999999999988,0,2.32e-08,5e-06,5.65e-20,0.15720240866328936,3.1,3.1
238.19999999999987,0,2.32e-08,5e-06,5.65e-20,0.1572674796252575,3.1,3.1
238.29999999999987,0,2.32e-08,5e-06,5.65e-20,0.15733257303142165,3.1,3.1
238.39999999999986,0,2.32e-08,5e-06,5.65e-20,0.15739768888797465,3.1,3.1
238.49999999999986,0,2.32e-08,5e-06,5.65e-20,0.15746282720111027,3.1,3.1
238.59999999999985,0,2.32e-08,5e-06,5.65e-20,0.15752798797702397,3.1,3.1
238.69999999999985,0,2.32e-08,5e-06,5.65e-20,0.15759317122191213,3.1,3.1
238.79999999999984,0,2.32e-08,5e-06,5.65e-20,0.15765837694197285,3.1,3.1
238.89999999999984,0,2.32e-08,5e-06,5.65e-20,0.15772360514340494,3.1,3.1
238.99999999999983,0,2.32e-08,5e-06,5.65e-20,0.15778885583240898,3.1,3.1
239.09999999999982,0,2.32e-08,5e-06,5.65e-20,0.1578541290151867,3.1,3.1
239.19999999999982,0,2.32e-08,5e-06,5.65e-20,0.15791942469794087,3.1,3.1
239.2999999999998,0,2.32e-08,5e-06,5.65e-20,0.15798474288687606,3.1,3.1
239.3999999999998,0,2.32e-08,5e-06,5.65e-20,0.15805008358819744,3.1,3.1
239.4999999999998,0,2.32e-08,5e-06,5.65e-20,0.15811544680811215,3.1,3.1
239.5999999999998,0,2.32e-08,5e-06,5.65e-20,0.15818083255282803,3.1,3.1
239.6999999999998,0,2.32e-08,5e-06,5.65e-20,0.15824624082855454,3.1,3.1
239.79999999999978,0,2.32e-08,5e-06,5.65e-20,0.15831167164150256,3.1,3.1
239.89999999999978,0,2.32e-08,5e-06,5.65e-20,0.1583771249978837,3.1,3.1
239.99999999999977,0,2.32e-08,5e-06,5.65e-20,0.15844260090391155,3.1,3.1
240.09999999999977,0,2.32e-08,5e-06,5.65e-20,0.1585299371999177,3.1,3.1
240.19999999999976,0,2.32e-08,5e-06,5.65e-20,0.15861731360996686,3.1,3.1
240.29999999999976,0,2.32e-08,5e-06,5.65e-20,0.15870473014879727,3.1,3.1
240.39999999999975,0,2.32e-08,5e-06,5.65e-20,0.15879218683115134,3.1,3.1
240.49999999999974,0,2.32e-08,5e-06,5.65e-20,0.15887968367177563,3.1,3.1
240.59999999999974,0,2.32e-08,5e-06,5.65e-20,0.1589672206854204,3.1,3.1
240.69999999999973,0,2.32e-08,5e-06,5.65e-20,0.1590547978868404,3.1,3.1
240.79999999999973,0,2.32e-08,5e-06,5.65e-20,0.15914241529079423,3.1,3.1
240.89999999999972,0,2.32e-08,5e-06,5.65e-20,0.15923007291204466,3.1,3.1
240.99999999999972,0,2.32e-08,5e-06,5.65e-20,0.1593177707653583,3.1,3.1
241.0999999999997,0,2.32e-08,5e-06,5.65e-20,0.15940550886550608,3.1,3.1
241.1999999999997,0,2.32e-08,5e-06,5.65e-20,0.15949328722726294,3.1,3.1
241.2999999999997,0,2.32e-08,5e-06,5.65e-20,0.15958110586540775,3.1,3.1
241.3999999999997,0,2.32e-08,5e-06,5.65e-20,0.1596689647947238,3.1,3.1
241.4999999999997,0,2.32e-08,5e-06,5.65e-20,0.1597568640299978,3.1,3.1
