Wave,TAU_spectrpol_S,TAU_spectrpol_P,TAU_spectrpol,TAU_spectr,coat_Rs,coat_Rp,coat_R,echelle_Rs,echelle_Rp,echelle_R,CD_Rs,CD_Rp,CD_R,dDOPED_QE,R_percent,EFF,Read Noise,Sky,Dark,BEF,Disp_Width,XDisp_Width
964.8,0.047924,0.081404,0.055543,0.073754,0.9827,0.9827,0.9827,0.37408,0.65741,0.43925,0.79305,0.76651,0.78277,0.77754,0.9269200000000001,0.073754,0.0,0.0,5e-06,5.65e-20,3.1,3.1
965.6,0.053721,0.09139,0.062341,0.082779,0.98269,0.98269,0.98269,0.4154,0.74115,0.49112,0.77851,0.7423,0.76413,0.77767,0.9272400000000001,0.082779,0.0,0.0,5e-06,5.65e-20,3.1,3.1
966.4,0.059577,0.10114,0.069119,0.09178,0.98268,0.98268,0.98268,0.45672,0.82488,0.543,0.76396,0.71809,0.74549,0.77779,0.92756,0.09178,0.0,0.0,5e-06,5.65e-20,3.1,3.1
967.2,0.062885,0.10632,0.072888,0.096782,0.98267,0.98267,0.98267,0.47831,0.87339,0.5716,0.74942,0.69388,0.72686,0.77792,0.92788,0.096782,0.0,0.0,5e-06,5.65e-20,3.1,3.1
968.0,0.063144,0.10628,0.073125,0.097097,0.98265,0.98265,0.98265,0.47697,0.88097,0.57315,0.73487,0.66967,0.70822,0.77804,0.9282,0.097097,0.0,0.0,5e-06,5.65e-20,3.1,3.1
968.8,0.063209,0.10581,0.073116,0.097083,0.98264,0.98264,0.98264,0.47562,0.88855,0.5747,0.72033,0.64546,0.68958,0.77816,0.92852,0.097083,0.0,0.0,5e-06,5.65e-20,3.1,3.1
969.6,0.0721,0.1395,0.088599,0.11764,0.98263,0.98263,0.98263,0.44387,0.83726,0.53892,0.86099,0.88317,0.87142,0.77829,0.9288400000000001,0.11764,0.0,0.0,5e-06,5.65e-20,3.1,3.1
970.4,0.066152,0.12798,0.081351,0.10802,0.98262,0.98262,0.98262,0.40511,0.77239,0.49453,0.84764,0.86007,0.85391,0.77841,0.92916,0.10802,0.0,0.0,5e-06,5.65e-20,3.1,3.1
971.2,0.059552,0.11526,0.073318,0.097349,0.9826,0.9826,0.9826,0.36344,0.70112,0.44632,0.83428,0.83698,0.83639,0.77854,0.9294800000000001,0.097349,0.0,0.0,5e-06,5.65e-20,3.1,3.1
972.0,0.050325,0.097072,0.061921,0.082216,0.98259,0.98259,0.98259,0.30679,0.59689,0.37842,0.82093,0.81388,0.81888,0.77866,0.9298000000000001,0.082216,0.0,0.0,5e-06,5.65e-20,3.1,3.1
972.8,0.041007,0.079084,0.050515,0.067071,0.98258,0.98258,0.98258,0.25014,0.49266,0.31053,0.80757,0.79079,0.80137,0.77879,0.9301200000000001,0.067071,0.0,0.0,5e-06,5.65e-20,3.1,3.1
973.6,0.064169,0.10791,0.074472,0.09888,0.98257,0.98257,0.98257,0.39228,0.68246,0.46129,0.79422,0.76769,0.78385,0.77891,0.93044,0.09888,0.0,0.0,5e-06,5.65e-20,3.1,3.1
974.4,0.071403,0.11988,0.08286,0.11002,0.98256,0.98256,0.98256,0.4382,0.77155,0.51815,0.78086,0.7446,0.76634,0.77903,0.93076,0.11002,0.0,0.0,5e-06,5.65e-20,3.1,3.1
975.2,0.078441,0.13109,0.0909,0.12069,0.98255,0.98255,0.98255,0.48412,0.86064,0.57501,0.76751,0.7215,0.74882,0.77916,0.93108,0.12069,0.0,0.0,5e-06,5.65e-20,3.1,3.1
976.0,0.079567,0.13227,0.092071,0.12224,0.98253,0.98253,0.98253,0.49472,0.88804,0.59035,0.75415,0.69841,0.73131,0.77928,0.9314,0.12224,0.0,0.0,5e-06,5.65e-20,3.1,3.1
976.8,0.07915,0.13079,0.091442,0.12141,0.98252,0.98252,0.98252,0.4965,0.90001,0.59531,0.7408,0.67531,0.7138,0.77941,0.93172,0.12141,0.0,0.0,5e-06,5.65e-20,3.1,3.1
977.6,0.090664,0.16285,0.10843,0.14397,0.9825,0.9825,0.9825,0.49429,0.90455,0.59543,0.8457,0.83007,0.83967,0.77953,0.9320400000000001,0.14397,0.0,0.0,5e-06,5.65e-20,3.1,3.1
978.4,0.085484,0.16212,0.10476,0.13909,0.98248,0.98248,0.98248,0.45622,0.84219,0.55198,0.8582,0.88164,0.86925,0.77965,0.9323600000000001,0.13909,0.0,0.0,5e-06,5.65e-20,3.1,3.1
979.2,0.077676,0.14719,0.095228,0.12643,0.98245,0.98245,0.98245,0.41814,0.77982,0.50853,0.84603,0.85962,0.85284,0.77978,0.9326800000000001,0.12643,0.0,0.0,5e-06,5.65e-20,3.1,3.1
980.0,0.068452,0.12949,0.083922,0.11142,0.98243,0.98243,0.98243,0.37206,0.70066,0.45474,0.83386,0.83759,0.83643,0.7799,0.933,0.11142,0.0,0.0,5e-06,5.65e-20,3.1,3.1
980.8,0.057011,0.10745,0.069839,0.09272,0.9824,0.9824,0.9824,0.31332,0.59494,0.3846,0.82169,0.81557,0.82002,0.78003,0.93316,0.09272,0.0,0.0,5e-06,5.65e-20,3.1,3.1
981.6,0.045767,0.086216,0.05612,0.074506,0.98236,0.98236,0.98236,0.25458,0.48923,0.31446,0.80952,0.79355,0.80361,0.78015,0.93332,0.074506,0.0,0.0,5e-06,5.65e-20,3.1,3.1
982.4,0.071695,0.11777,0.082823,0.10996,0.98232,0.98232,0.98232,0.40396,0.68579,0.47268,0.79736,0.77152,0.7872,0.78027,0.9334800000000001,0.10996,0.0,0.0,5e-06,5.65e-20,3.1,3.1
983.2,0.079219,0.13017,0.091566,0.12156,0.98228,0.98228,0.98228,0.45241,0.77879,0.53269,0.78519,0.7495,0.77079,0.7804,0.93364,0.12156,0.0,0.0,5e-06,5.65e-20,3.1,3.1
984.0,0.08649,0.14167,0.099883,0.1326,0.98224,0.98224,0.98224,0.50086,0.87179,0.59271,0.77302,0.72748,0.75438,0.78052,0.9338000000000001,0.1326,0.0,0.0,5e-06,5.65e-20,3.1,3.1
984.8,0.086395,0.14117,0.099748,0.13242,0.9822,0.9822,0.9822,0.50761,0.89456,0.60423,0.76085,0.70545,0.73797,0.78065,0.93396,0.13242,0.0,0.0,5e-06,5.65e-20,3.1,3.1
985.6,0.085795,0.13972,0.099003,0.13143,0.98215,0.98215,0.98215,0.51157,0.91266,0.61251,0.74868,0.68343,0.72156,0.78077,0.9342400000000001,0.13143,0.0,0.0,5e-06,5.65e-20,3.1,3.1
986.4,0.097205,0.17462,0.1169,0.15519,0.98211,0.98211,0.98211,0.50775,0.91627,0.6113,0.85345,0.8496,0.85252,0.7809,0.9345600000000001,0.15519,0.0,0.0,5e-06,5.65e-20,3.1,3.1
987.2,0.09066,0.17036,0.11129,0.14774,0.98207,0.98207,0.98207,0.47021,0.85712,0.56895,0.85834,0.88483,0.87077,0.78102,0.93488,0.14774,0.0,0.0,5e-06,5.65e-20,3.1,3.1
988.0,0.082473,0.15507,0.10134,0.13453,0.98202,0.98202,0.98202,0.43267,0.79798,0.52661,0.84737,0.86386,0.85547,0.78114,0.9352,0.13453,0.0,0.0,5e-06,5.65e-20,3.1,3.1
988.8,0.072654,0.13649,0.089312,0.11856,0.98198,0.98198,0.98198,0.38563,0.71887,0.47191,0.83639,0.84289,0.84017,0.78127,0.93552,0.11856,0.0,0.0,5e-06,5.65e-20,3.1,3.1
989.6,0.060647,0.1136,0.074518,0.098923,0.98194,0.98194,0.98194,0.32574,0.61276,0.4005,0.82542,0.82193,0.82487,0.78139,0.9358400000000001,0.098923,0.0,0.0,5e-06,5.65e-20,3.1,3.1
