Wave,TAU_spectrpol_S,TAU_spectrpol_P,TAU_spectrpol,flip_TE,flip_TM,flip_NP,polarimeter_TAU,coat_Rs,coat_Rp,coat_R,echelle_Rs,echelle_Rp,echelle_R,CD_Rs,CD_Rp,CD_R,dDOPED_QE,R_percent,EFF,Read Noise,Sky,Dark,BEF,Disp_Width,XDisp_Width
112.5,0.0050802,0.00056546,0.003962,0.64032,0.63589,0.64476,0.13352,0.69251,0.69246,0.69256,0.33231,0.03867,0.26138,0.87604,0.84396,0.86243,0.61463,0.7395,0.003962,0.0,1.2e-05,5e-06,8.373e-21,3.1,3.1
112.6,0.0044663,0.00048905,0.0034886,0.63901,0.63372,0.64431,0.13336,0.69147,0.69142,0.69153,0.29452,0.033743,0.23164,0.87626,0.84465,0.86285,0.61425,0.7398,0.0034886,0.0,1.22e-05,5e-06,8.424e-21,3.1,3.1
112.7,0.0075762,0.00075267,0.0059227,0.63771,0.63154,0.64387,0.13319,0.69044,0.69037,0.69049,0.5036,0.0524,0.39582,0.87662,0.84542,0.86338,0.61387,0.7401,0.0059227,0.0,1.25e-05,5e-06,8.478e-21,3.1,3.1
112.8,0.0080758,0.00079625,0.0063204,0.63702,0.63029,0.64375,0.13301,0.68988,0.68981,0.68994,0.53955,0.055739,0.42407,0.87697,0.8462,0.86391,0.61349,0.7404,0.0063204,0.0,1.27e-05,5e-06,8.533e-21,3.1,3.1
112.9,0.0085708,0.00084359,0.0067287,0.63641,0.62914,0.64368,0.13281,0.68938,0.68932,0.68944,0.5755,0.059077,0.45232,0.87716,0.85097,0.86605,0.61311,0.7407,0.0067287,0.0,1.29e-05,5e-06,8.59e-21,3.1,3.1
113.0,0.0090602,0.00089077,0.007135,0.6358,0.62799,0.64361,0.13261,0.68889,0.68883,0.68895,0.61144,0.062416,0.48057,0.87736,0.85574,0.86819,0.61273,0.741,0.007135,0.0,1.32e-05,5e-06,8.649e-21,3.1,3.1
113.1,0.0095435,0.00093773,0.0075389,0.63519,0.62684,0.64355,0.13239,0.6884,0.68833,0.68846,0.64739,0.065755,0.50882,0.87755,0.86052,0.87033,0.61235,0.7421,0.0075389,0.0,1.34e-05,5e-06,8.71e-21,3.1,3.1
113.2,0.010021,0.00098453,0.0079403,0.63459,0.62569,0.64349,0.13215,0.68791,0.68784,0.68797,0.68334,0.069094,0.53707,0.87774,0.86529,0.87246,0.61196,0.7432,0.0079403,0.0,1.37e-05,5e-06,8.773e-21,3.1,3.1
113.3,0.010491,0.0010311,0.0083395,0.63399,0.62454,0.64344,0.13191,0.68742,0.68735,0.68749,0.71929,0.072433,0.56532,0.87794,0.87006,0.8746,0.61158,0.7443,0.0083395,0.0,1.39e-05,5e-06,8.838e-21,3.1,3.1
113.4,0.010663,0.0010654,0.0085028,0.63339,0.6234,0.64339,0.13165,0.68693,0.68686,0.687,0.73502,0.074925,0.57776,0.87813,0.87483,0.87674,0.61119,0.7454000000000001,0.0085028,0.0,1.42e-05,5e-06,8.905e-21,3.1,3.1
113.5,0.010799,0.0010982,0.0086388,0.6328,0.62225,0.64335,0.13138,0.68644,0.68637,0.68651,0.74852,0.077322,0.58843,0.87832,0.8796,0.87888,0.61081,0.7464999999999999,0.0086388,0.0,1.44e-05,5e-06,8.99e-21,3.1,3.1
113.6,0.010932,0.0011307,0.0087737,0.63221,0.6211,0.64332,0.1311,0.68596,0.68588,0.68603,0.76201,0.07972,0.59911,0.87852,0.88438,0.88102,0.61042,0.7475999999999999,0.0087737,0.0,1.46e-05,5e-06,9.076e-21,3.1,3.1
113.7,0.011063,0.0011631,0.0089075,0.63162,0.61995,0.64329,0.13081,0.68548,0.68541,0.68556,0.7755,0.082118,0.60979,0.87871,0.88915,0.88316,0.61003,0.7487,0.0089075,0.0,1.48e-05,5e-06,9.165e-21,3.1,3.1
113.8,0.011191,0.0011952,0.0090391,0.63103,0.6188,0.64326,0.13051,0.685,0.68493,0.68507,0.78899,0.084515,0.62046,0.8789,0.89392,0.8853,0.60964,0.7498,0.0090391,0.0,1.5e-05,5e-06,9.257e-21,3.1,3.1
113.9,0.011317,0.0012272,0.0091706,0.63045,0.61766,0.64324,0.13021,0.68453,0.68445,0.68461,0.80249,0.086913,0.63114,0.8791,0.89869,0.88744,0.60925,0.7509,0.0091706,0.0,1.51e-05,5e-06,9.352e-21,3.1,3.1
114.0,0.011326,0.0012536,0.0092076,0.62987,0.61652,0.64323,0.1299,0.68405,0.68397,0.68414,0.80779,0.088939,0.63541,0.87929,0.90346,0.88957,0.60886,0.752,0.0092076,0.0,1.53e-05,5e-06,9.45e-21,3.1,3.1
114.1,0.011068,0.0012678,0.0090277,0.6293,0.61537,0.64323,0.12958,0.68359,0.6835,0.68366,0.794,0.090099,0.62473,0.87948,0.90824,0.89171,0.60846,0.7510000000000001,0.0090277,0.0,1.56e-05,5e-06,9.55e-21,3.1,3.1
114.2,0.010812,0.0012818,0.008849,0.62873,0.61423,0.64322,0.12926,0.68312,0.68303,0.6832,0.7802,0.091259,0.61405,0.87968,0.91301,0.89385,0.60807,0.75,0.008849,0.0,1.58e-05,5e-06,9.652e-21,3.1,3.1
114.3,0.010559,0.0012957,0.0086709,0.62816,0.6131,0.64323,0.12894,0.68265,0.68256,0.68273,0.76641,0.09242,0.60337,0.87987,0.91778,0.89599,0.60767,0.749,0.0086709,0.0,1.6e-05,5e-06,9.758e-21,3.1,3.1
114.4,0.010308,0.0013085,0.0084889,0.6276,0.61196,0.64324,0.12862,0.68219,0.6821,0.68227,0.75262,0.09358,0.59269,0.88007,0.92176,0.89761,0.60728,0.7479999999999999,0.0084889,0.0,1.62e-05,5e-06,9.867e-21,3.1,3.1
114.5,0.01006,0.0013211,0.0083082,0.62704,0.61082,0.64326,0.1283,0.68173,0.68164,0.68181,0.73882,0.09474,0.58201,0.88027,0.92573,0.89922,0.60688,0.747,0.0083082,0.0,1.64e-05,5e-06,9.979e-21,3.1,3.1
114.6,0.0098154,0.0013336,0.008129,0.62649,0.60969,0.64329,0.12798,0.68127,0.68118,0.68136,0.72503,0.0959,0.57134,0.88048,0.92971,0.90084,0.60648,0.7460000000000001,0.008129,0.0,1.67e-05,5e-06,1.009e-20,3.1,3.1
114.7,0.0093724,0.0013203,0.0077851,0.62594,0.60856,0.64332,0.12767,0.68081,0.68073,0.68091,0.69633,0.095198,0.54895,0.88068,0.93368,0.90245,0.60608,0.745,0.0077851,0.0,1.69e-05,5e-06,1.021e-20,3.1,3.1
114.8,0.0088854,0.0013006,0.0074021,0.6254,0.60744,0.64335,0.12736,0.68037,0.68027,0.68046,0.6639,0.094031,0.52364,0.88088,0.93766,0.90407,0.60568,0.744,0.0074021,0.0,1.72e-05,5e-06,1.033e-20,3.1,3.1
114.9,0.0084036,0.0012811,0.0070222,0.62486,0.60632,0.6434,0.12705,0.67992,0.67983,0.68002,0.63147,0.092864,0.49833,0.88108,0.94163,0.90568,0.60528,0.7429999999999999,0.0070222,0.0,1.74e-05,5e-06,1.046e-20,3.1,3.1
115.0,0.0079276,0.0012617,0.006645,0.62432,0.6052,0.64345,0.12675,0.67948,0.67938,0.67958,0.59904,0.091698,0.47301,0.88128,0.94561,0.9073,0.60488,0.742,0.006645,0.0,1.77e-05,5e-06,1.059e-20,3.1,3.1
115.1,0.0074609,0.001243,0.0062735,0.62387,0.60416,0.64359,0.12647,0.67912,0.67902,0.67922,0.56661,0.090531,0.4477,0.88148,0.94958,0.90891,0.60448,0.7435999999999999,0.0062735,0.0,1.79e-05,5e-06,1.072e-20,3.1,3.1
115.2,0.0069993,0.0012246,0.005904,0.62343,0.60312,0.64373,0.12619,0.67876,0.67866,0.67885,0.53418,0.089364,0.42239,0.88169,0.95356,0.91053,0.60408,0.7452000000000001,0.005904,0.0,1.82e-05,5e-06,1.086e-20,3.1,3.1
115.3,0.0065327,0.0011988,0.0055287,0.62299,0.60209,0.64388,0.12592,0.67841,0.6783,0.67851,0.50098,0.087655,0.39644,0.88189,0.95754,0.91215,0.60367,0.7467999999999999,0.0055287,0.0,1.86e-05,5e-06,1.1e-20,3.1,3.1
115.4,0.0060305,0.0011438,0.0051198,0.62255,0.60107,0.64404,0.12567,0.67805,0.67795,0.67815,0.46467,0.083781,0.36796,0.88209,0.96151,0.91376,0.60327,0.7484000000000001,0.0051198,0.0,1.89e-05,5e-06,1.113e-20,3.1,3.1
115.5,0.005534,0.001089,0.0047137,0.62213,0.60005,0.64421,0.12542,0.67771,0.6776,0.67781,0.42837,0.079907,0.33948,0.88229,0.96549,0.91538,0.60286,0.75,0.0047137,0.0,1.93e-05,5e-06,1.128e-20,3.1,3.1
