Wave,TAU_spectr_S,TAU_spectr_P,TAU_spectr,dichro_RHO,coat_Rs,coat_Rp,coat_R,echelle_Rs,echelle_Rp,echelle_R,CD_Rs,CD_Rp,CD_R,dDOPED_QE,R_percent,EFF,Read Noise,Sky,Dark,BEF,Disp_Width,XDisp_Width
125.33,0.045809,0.023656,0.037943,0.58079,0.90204,0.90182,0.90193,0.76509,0.42801,0.65255,0.61071,0.56417,0.59329,0.47769,0.7629900000000001,0.037943,0.0,2.9660000000000035e-05,5e-06,1.8043000000000017e-20,3.1,3.1
125.53,0.044923,0.023925,0.037388,0.58079,0.90211,0.90189,0.902,0.75903,0.43966,0.65143,0.59923,0.55136,0.5813,0.47877,0.76359,0.037388,0.0,2.8160000000000035e-05,5e-06,1.7285000000000016e-20,3.1,3.1
125.73,0.048979,0.027255,0.041159,0.58079,0.90212,0.9019,0.90201,0.75298,0.45132,0.6503,0.65391,0.60754,0.63651,0.47986,0.76419,0.041159,0.0,2.679000000000003e-05,5e-06,1.6601000000000015e-20,3.1,3.1
125.93,0.051278,0.029826,0.043597,0.58079,0.90207,0.90186,0.90197,0.69702,0.42901,0.60518,0.73455,0.69468,0.71955,0.48094,0.7647900000000001,0.043597,0.0,2.554999999999991e-05,5e-06,1.5972999999999948e-20,3.1,3.1
126.13,0.04778,0.02874,0.040939,0.58079,0.90202,0.90181,0.90192,0.62858,0.3982,0.54906,0.75393,0.71636,0.73978,0.48202,0.76474,0.040939,0.0,2.4420000000000027e-05,5e-06,1.5409000000000012e-20,3.1,3.1
126.33,0.042242,0.026253,0.036436,0.58079,0.90198,0.90177,0.90187,0.56014,0.3674,0.49295,0.7431,0.7046,0.7286,0.48311,0.76434,0.036436,0.0,2.3350000000000022e-05,5e-06,1.4898000000000012e-20,3.1,3.1
126.53,0.036399,0.023286,0.03159,0.58079,0.90194,0.90173,0.90183,0.48669,0.32931,0.43128,0.73228,0.69284,0.71743,0.48419,0.7639400000000001,0.03159,0.0,2.2350000000000025e-05,5e-06,1.442400000000001e-20,3.1,3.1
126.73,0.029949,0.01942,0.02607,0.58079,0.90189,0.90168,0.90179,0.40394,0.27766,0.35932,0.72146,0.68107,0.70625,0.48528,0.76354,0.02607,0.0,2.138000000000002e-05,5e-06,1.398700000000001e-20,3.1,3.1
126.93,0.023597,0.015629,0.020642,0.58079,0.90185,0.90164,0.90174,0.32119,0.22602,0.28736,0.71063,0.66931,0.69507,0.48636,0.76314,0.020642,0.0,2.0579999999999925e-05,5e-06,1.3582999999999964e-20,3.1,3.1
127.13,0.017351,0.011915,0.015312,0.58079,0.90181,0.9016,0.9017,0.23845,0.17438,0.2154,0.69981,0.65755,0.68389,0.48744,0.76248,0.015312,0.0,1.9780000000000017e-05,5e-06,1.3216000000000009e-20,3.1,3.1
127.33,0.043788,0.028017,0.037972,0.58079,0.90176,0.90155,0.90166,0.60784,0.41523,0.54004,0.68899,0.64578,0.67271,0.48852,0.76168,0.037972,0.0,1.9010000000000013e-05,5e-06,1.2869000000000009e-20,3.1,3.1
127.53,0.047849,0.03133,0.04171,0.58079,0.90172,0.90151,0.90161,0.67125,0.47045,0.60007,0.67817,0.63402,0.66153,0.4896,0.76088,0.04171,0.0,1.8310000000000013e-05,5e-06,1.2545000000000006e-20,3.1,3.1
127.73,0.051791,0.034531,0.045335,0.58079,0.90167,0.90147,0.90157,0.73466,0.52567,0.6601,0.66734,0.62226,0.65035,0.49068,0.76008,0.045335,0.0,1.7710000000000012e-05,5e-06,1.2245000000000007e-20,3.1,3.1
127.93,0.053682,0.03635,0.047161,0.58079,0.90163,0.90142,0.90153,0.77033,0.56134,0.69537,0.65652,0.61049,0.63917,0.49176,0.75928,0.047161,0.0,1.7109999999999946e-05,5e-06,1.1960999999999977e-20,3.1,3.1
128.13,0.052628,0.036219,0.046423,0.58079,0.90158,0.90138,0.90148,0.76437,0.56768,0.69349,0.6457,0.59873,0.62799,0.49284,0.75822,0.046423,0.0,1.6510000000000013e-05,5e-06,1.1701000000000006e-20,3.1,3.1
128.33,0.052743,0.037006,0.046769,0.58079,0.90154,0.90134,0.90144,0.7584,0.57402,0.6916,0.64932,0.60232,0.63159,0.49391,0.7570199999999999,0.046769,0.0,1.6009999999999943e-05,5e-06,1.1443999999999978e-20,3.1,3.1
128.53,0.058864,0.042767,0.052769,0.58079,0.90149,0.90129,0.90139,0.75244,0.58036,0.68972,0.7273,0.68554,0.71152,0.49499,0.75582,0.052769,0.0,1.554000000000001e-05,5e-06,1.1207000000000004e-20,3.1,3.1
128.73,0.057358,0.042591,0.051784,0.58079,0.90144,0.90125,0.90135,0.69595,0.54282,0.63997,0.76304,0.7269,0.74937,0.49606,0.7546200000000001,0.051784,0.0,1.5040000000000008e-05,5e-06,1.0987000000000004e-20,3.1,3.1
128.93,0.054154,0.041004,0.049198,0.58079,0.9014,0.9012,0.9013,0.63053,0.49754,0.58178,0.7919,0.76038,0.77998,0.49712,0.75342,0.049198,0.0,1.4639999999999963e-05,5e-06,1.0779999999999981e-20,3.1,3.1
129.13,0.048115,0.036875,0.043861,0.58079,0.90135,0.90115,0.90125,0.56512,0.45226,0.52359,0.78187,0.74923,0.76952,0.49819,0.75326,0.043861,0.0,1.424000000000001e-05,5e-06,1.0580000000000005e-20,3.1,3.1
129.33,0.041899,0.032472,0.038315,0.58079,0.9013,0.90111,0.9012,0.49651,0.40264,0.46182,0.77183,0.73809,0.75906,0.49925,0.75366,0.038315,0.0,1.3809999999999946e-05,5e-06,1.0395999999999985e-20,3.1,3.1
129.53,0.034981,0.027115,0.031986,0.58079,0.90124,0.90105,0.90114,0.41831,0.34001,0.38936,0.76179,0.72694,0.7486,0.50031,0.75406,0.031986,0.0,1.334000000000001e-05,5e-06,1.0236000000000004e-20,3.1,3.1
129.73,0.028174,0.021864,0.025768,0.58079,0.90111,0.90092,0.90102,0.3401,0.27737,0.3169,0.75176,0.7158,0.73814,0.50137,0.75446,0.025768,0.0,1.2910000000000014e-05,5e-06,1.0089000000000004e-20,3.1,3.1
129.93,0.021488,0.016728,0.01967,0.58079,0.90097,0.90077,0.90087,0.2619,0.21474,0.24444,0.74172,0.70465,0.72768,0.50242,0.75486,0.01967,0.0,1.2469999999999982e-05,5e-06,9.942399999999985e-21,3.1,3.1
130.13,0.04773,0.035884,0.043236,0.58079,0.90082,0.90063,0.90072,0.58738,0.46621,0.54299,0.73169,0.69351,0.71722,0.50347,0.75448,0.043236,0.0,1.224000000000001e-05,5e-06,9.780300000000004e-21,3.1,3.1
130.33,0.05212,0.039713,0.047392,0.58079,0.90066,0.90047,0.90056,0.64773,0.52228,0.60159,0.72165,0.68236,0.70675,0.50452,0.7536799999999999,0.047392,0.0,1.1969999999999982e-05,5e-06,9.625199999999986e-21,3.1,3.1
130.53,0.056413,0.043435,0.051448,0.58079,0.90049,0.9003,0.9004,0.70808,0.57835,0.66018,0.71161,0.67122,0.69629,0.50556,0.75288,0.051448,0.0,1.1670000000000005e-05,5e-06,9.476100000000004e-21,3.1,3.1
130.73,0.060607,0.047048,0.055401,0.58079,0.90032,0.90013,0.90023,0.76842,0.63442,0.71877,0.70158,0.66007,0.68583,0.5066,0.7520800000000001,0.055401,0.0,1.1470000000000004e-05,5e-06,9.332300000000003e-21,3.1,3.1
130.93,0.059811,0.046688,0.05476,0.58079,0.90015,0.89996,0.90006,0.76614,0.63772,0.71847,0.69154,0.64893,0.67537,0.50764,0.75128,0.05476,0.0,1.1269999999999982e-05,5e-06,9.194899999999987e-21,3.1,3.1
131.13,0.058757,0.046115,0.05388,0.58079,0.89998,0.89979,0.89988,0.76057,0.63824,0.71506,0.6815,0.63778,0.66491,0.50867,0.7481400000000001,0.05388,0.0,1.1070000000000004e-05,5e-06,9.062800000000003e-21,3.1,3.1
131.33,0.061277,0.048867,0.056496,0.58079,0.89981,0.89962,0.89971,0.75499,0.63876,0.71166,0.71299,0.67248,0.69761,0.5097,0.7437399999999997,0.056496,0.0,1.0869999999999982e-05,5e-06,8.937299999999989e-21,3.1,3.1
131.53,0.064166,0.052115,0.05954,0.58079,0.89963,0.89945,0.89954,0.73518,0.62601,0.69441,0.76358,0.72878,0.75035,0.51072,0.73934,0.05954,0.0,1.0570000000000004e-05,5e-06,8.831600000000002e-21,3.1,3.1
131.73,0.061422,0.050484,0.057243,0.58079,0.89946,0.89927,0.89937,0.67264,0.57343,0.63559,0.79563,0.76757,0.78498,0.51173,0.7349400000000003,0.057243,0.0,1.0270000000000005e-05,5e-06,8.736900000000002e-21,3.1,3.1
131.93,0.057752,0.047921,0.054013,0.58079,0.89929,0.8991,0.8992,0.6101,0.52086,0.57677,0.82151,0.79894,0.81296,0.51275,0.7305399999999999,0.054013,0.0,1.0054999999999972e-05,5e-06,8.645799999999991e-21,3.1,3.1
132.13,0.051455,0.042675,0.048111,0.58079,0.89911,0.89893,0.89902,0.54756,0.46829,0.51795,0.81235,0.78826,0.80321,0.51375,0.7318599999999998,0.048111,0.0,9.791000000000007e-06,5e-06,8.559400000000001e-21,3.1,3.1
132.33,0.044706,0.036989,0.041762,0.58079,0.89894,0.89876,0.89885,0.47934,0.40992,0.45342,0.8032,0.77759,0.79347,0.51475,0.7362600000000002,0.041762,0.0,9.543999999999978e-06,5e-06,8.476999999999993e-21,3.1,3.1
132.53,0.037517,0.030883,0.034986,0.58079,0.89877,0.89858,0.89867,0.40543,0.34575,0.38317,0.79405,0.76691,0.78373,0.51575,0.74066,0.034986,0.0,9.314000000000006e-06,5e-06,8.398600000000001e-21,3.1,3.1
132.73,0.03043,0.024888,0.028316,0.58079,0.89859,0.89841,0.8985,0.33152,0.28159,0.31293,0.78489,0.75624,0.77398,0.51674,0.7450599999999997,0.028316,0.0,9.087000000000006e-06,5e-06,8.323200000000002e-21,3.1,3.1
132.93,0.023449,0.019009,0.021755,0.58079,0.89842,0.89824,0.89833,0.25762,0.21742,0.24268,0.77574,0.74556,0.76424,0.51772,0.7494600000000001,0.021755,0.0,8.892999999999982e-06,5e-06,8.245699999999993e-21,3.1,3.1
133.13,0.053492,0.042822,0.049429,0.58372,0.89827,0.89809,0.89818,0.58976,0.49278,0.55385,0.76658,0.73488,0.7545,0.5187,0.7497,0.049429,0.0,8.726000000000003e-06,5e-06,8.163700000000002e-21,3.1,3.1
133.33,0.058647,0.047211,0.054279,0.58824,0.89812,0.89794,0.89803,0.64731,0.54531,0.60947,0.75743,0.72421,0.74475,0.51967,0.7476999999999999,0.054279,0.0,8.565999999999985e-06,5e-06,8.084299999999993e-21,3.1,3.1
133.53,0.063776,0.05155,0.059093,0.59275,0.89798,0.8978,0.89789,0.70486,0.59784,0.66509,0.74828,0.71353,0.73501,0.52064,0.7457,0.059093,0.0,8.416000000000004e-06,5e-06,8.007600000000001e-21,3.1,3.1
133.73,0.068882,0.055845,0.063877,0.59726,0.89789,0.89772,0.89781,0.76241,0.65037,0.72071,0.73912,0.70286,0.72527,0.5216,0.7437000000000001,0.063877,0.0,8.266000000000004e-06,5e-06,7.933200000000001e-21,3.1,3.1
133.93,0.06911,0.055963,0.064053,0.60178,0.89783,0.89765,0.89774,0.76616,0.65466,0.72465,0.72997,0.69218,0.71552,0.52255,0.7416999999999999,0.064053,0.0,8.118999999999988e-06,5e-06,7.862499999999993e-21,3.1,3.1
134.13,0.068244,0.055159,0.063204,0.60435,0.89776,0.89758,0.89767,0.76042,0.65045,0.71948,0.72081,0.68151,0.70578,0.52349,0.7397,0.063204,0.0,7.979000000000003e-06,5e-06,7.792800000000001e-21,3.1,3.1
134.33,0.070855,0.057734,0.065817,0.60588,0.89769,0.89751,0.8976,0.75468,0.64623,0.71431,0.74972,0.71383,0.73599,0.52443,0.7376999999999999,0.065817,0.0,7.838999999999987e-06,5e-06,7.726999999999995e-21,3.1,3.1
134.53,0.075012,0.061847,0.069981,0.6074,0.89762,0.89745,0.89753,0.74894,0.64201,0.70914,0.79516,0.76523,0.7837,0.52536,0.7357,0.069981,0.0,7.696000000000004e-06,5e-06,7.667300000000002e-21,3.1,3.1
134.73,0.072026,0.05967,0.06733,0.60893,0.89755,0.89738,0.89746,0.69488,0.59385,0.65732,0.81812,0.79353,0.80873,0.52628,0.7337000000000001,0.06733,0.0,7.5490000000000034e-06,5e-06,7.610600000000001e-21,3.1,3.1
134.93,0.068113,0.05661,0.063768,0.61045,0.89748,0.89731,0.89739,0.63544,0.54081,0.60031,0.84108,0.82183,0.83375,0.5272,0.7316999999999999,0.063768,0.0,7.418999999999987e-06,5e-06,7.555899999999996e-21,3.1,3.1
