WAVE_nm,TAU_spectrSH_S,TAU_spectrSH_P,TAU_spectrSH,dichro_RHO_SH,coat_Rs_SH,coat_Rp_SH,coat_R_SH,echelle_Rs_SH,echelle_Rp_SH,echelle_R_SH,CD_Rs_SH,CD_Rp_SH,CD_R_SH,dDOPED_QE_SH,R_percent,EFF,Read Noise,Sky,Dark,BEF,Disp_Width,XDisp_Width
112.8,1.3032,0.60829,1.0588,58.079,0.68221,0.6815,0.68185,0.71485,0.36232,0.59759,0.50822,0.46949,0.49471,0.19452,0.7404,0.5804258590079999,0.0,1.27e-05,5e-06,8.533e-21,3.1,3.1
113.0,1.4851,0.73139,1.2175,58.079,0.69208,0.6914,0.69173,0.7429,0.39622,0.62611,0.53079,0.49157,0.51709,0.19562,0.741,0.6685061175000001,0.0,1.32e-05,5e-06,8.649e-21,3.1,3.1
113.2,1.6088,0.83774,1.3322,58.079,0.70165,0.70098,0.70131,0.73642,0.41431,0.62644,0.55337,0.51364,0.53947,0.19678,0.7432,0.735835660928,0.0,1.37e-05,5e-06,8.773e-21,3.1,3.1
113.4,1.7372,0.95464,1.4531,58.079,0.71095,0.71031,0.71062,0.72995,0.4324,0.62676,0.57594,0.53572,0.56185,0.19799,0.7454000000000001,0.8073731075960001,0.0,1.42e-05,5e-06,8.905e-21,3.1,3.1
113.6,1.1397,0.62262,0.94707,58.079,0.72005,0.71943,0.71974,0.66274,0.4083,0.57363,0.39801,0.35386,0.38263,0.19926,0.7475999999999999,0.5293228781231999,0.0,1.46e-05,5e-06,9.076e-21,3.1,3.1
113.8,1.0927,0.62779,0.91854,58.079,0.72814,0.72754,0.72784,0.58034,0.37365,0.50712,0.41864,0.3745,0.40323,0.20059,0.7498,0.5164032247416,0.0,1.5e-05,5e-06,9.257e-21,3.1,3.1
114.0,1.0219,0.62301,0.87102,58.079,0.73613,0.73554,0.73583,0.49719,0.33777,0.43974,0.43927,0.39514,0.42383,0.20197,0.752,0.49256529408,0.0,1.53e-05,5e-06,9.45e-21,3.1,3.1
114.2,0.89392,0.5617,0.768,58.079,0.74397,0.7434,0.74368,0.39956,0.27834,0.35564,0.4599,0.41578,0.44443,0.20341,0.75,0.432,0.0,1.58e-05,5e-06,9.652e-21,3.1,3.1
114.4,0.73334,0.48188,0.63758,58.079,0.75169,0.75115,0.75142,0.30192,0.21892,0.27154,0.48052,0.43642,0.46503,0.20491,0.7479999999999999,0.3567285603199999,0.0,1.62e-05,5e-06,9.867e-21,3.1,3.1
114.6,1.4503,0.68328,1.1785,58.079,0.75934,0.75882,0.75908,0.55123,0.28533,0.46268,0.50115,0.45705,0.48563,0.20646,0.7460000000000001,0.6558541060000002,0.0,1.67e-05,5e-06,1.009e-20,3.1,3.1
114.8,1.7858,0.89605,1.4672,58.079,0.76687,0.76636,0.76662,0.62796,0.34486,0.53231,0.52178,0.47769,0.50624,0.20808,0.744,0.8121480192000001,0.0,1.72e-05,5e-06,1.033e-20,3.1,3.1
115.0,2.162,1.1377,1.7921,58.079,0.77435,0.77386,0.77411,0.70469,0.40438,0.60195,0.5424,0.49833,0.52684,0.20975,0.742,0.9866657443999999,0.0,1.77e-05,5e-06,1.059e-20,3.1,3.1
115.2,2.4867,1.36,2.077,58.079,0.78182,0.78134,0.78158,0.75246,0.44727,0.64698,0.56303,0.51897,0.54744,0.21148,0.7452000000000001,1.1534059540800001,0.0,1.82e-05,5e-06,1.086e-20,3.1,3.1
115.4,2.6529,1.5064,2.2336,58.079,0.78923,0.78876,0.78899,0.74644,0.45928,0.64634,0.58366,0.53961,0.56804,0.21327,0.7484000000000001,1.2510450780160003,0.0,1.89e-05,5e-06,1.113e-20,3.1,3.1
115.6,2.8259,1.6648,2.3985,58.079,0.7966,0.79615,0.79638,0.74043,0.47129,0.64569,0.60429,0.56025,0.58864,0.21512,0.7515999999999999,1.3549187901599997,0.0,1.97e-05,5e-06,1.143e-20,3.1,3.1
115.8,1.9832,1.1549,1.6718,58.079,0.8039,0.80346,0.80368,0.70076,0.45854,0.61482,0.43217,0.38523,0.41556,0.21703,0.7547999999999999,0.9524629782719998,0.0,2.05e-05,5e-06,1.174e-20,3.1,3.1
116.0,1.868,1.1197,1.586,58.079,0.81119,0.81076,0.81098,0.61995,0.41555,0.54698,0.4438,0.3975,0.42738,0.21901,0.758,0.911258504,0.0,2.13e-05,5e-06,1.208e-20,3.1,3.1
116.2,1.7278,1.0726,1.4798,58.079,0.81839,0.81798,0.81819,0.53914,0.37255,0.47915,0.45543,0.40977,0.43921,0.22104,0.7592,0.852933990272,0.0,2.23e-05,5e-06,1.245e-20,3.1,3.1
116.4,1.5322,0.97706,1.3214,58.079,0.82552,0.82512,0.82532,0.44997,0.31801,0.40214,0.46705,0.42203,0.45103,0.22313,0.7604000000000001,0.764044262624,0.0,2.33e-05,5e-06,1.284e-20,3.1,3.1
116.6,1.2844,0.83793,1.1145,58.079,0.83265,0.83227,0.83246,0.35522,0.25578,0.31901,0.47868,0.4343,0.46285,0.22529,0.7615999999999999,0.6464485171199998,0.0,2.42e-05,5e-06,1.328e-20,3.1,3.1
116.8,0.98286,0.66427,0.8611,58.079,0.83512,0.83474,0.83493,0.26047,0.19355,0.23588,0.49031,0.44657,0.47468,0.22751,0.7628,0.501042952624,0.0,2.52e-05,5e-06,1.376e-20,3.1,3.1
117.0,2.3064,1.1654,1.8973,58.079,0.83734,0.83697,0.83715,0.58645,0.32459,0.49808,0.50193,0.45884,0.4865,0.22979,0.764,1.1074464207999999,0.0,2.63e-05,5e-06,1.429e-20,3.1,3.1
117.2,2.7103,1.3997,2.2395,58.079,0.83952,0.83916,0.83934,0.66158,0.37292,0.56372,0.51356,0.4711,0.49832,0.23213,0.7664000000000001,1.3154127859200004,0.0,2.74e-05,5e-06,1.486e-20,3.1,3.1
117.4,3.1427,1.6518,2.6062,58.079,0.84169,0.84133,0.84151,0.73671,0.42126,0.62936,0.52519,0.48337,0.51015,0.23454,0.7688,1.540403475328,0.0,2.87e-05,5e-06,1.549e-20,3.1,3.1
117.6,3.3551,1.7839,2.7896,58.079,0.84382,0.84348,0.84365,0.75568,0.4357,0.64657,0.53681,0.49564,0.52197,0.23701,0.7712,1.659113037824,0.0,3e-05,5e-06,1.618e-20,3.1,3.1
117.8,3.467,1.8612,2.889,58.079,0.84594,0.84559,0.84576,0.75059,0.43562,0.64302,0.54844,0.50791,0.53379,0.23955,0.7736,1.7289421574399997,0.0,3.15e-05,5e-06,1.694e-20,3.1,3.1
118.0,3.5811,1.9408,2.9908,58.079,0.84803,0.84769,0.84786,0.74549,0.43554,0.63948,0.56007,0.52018,0.54562,0.24215,0.776,1.8009879808000002,0.0,3.32e-05,5e-06,1.779e-20,3.1,3.1
118.2,3.9629,2.1987,3.3351,58.079,0.85007,0.84974,0.8499,0.69337,0.40625,0.59511,0.65438,0.6204,0.64203,0.24481,0.7744,2.000043995136,0.0,3.51e-05,5e-06,1.873e-20,3.1,3.1
118.4,3.5613,1.9773,2.9975,58.079,0.85207,0.85174,0.8519,0.61591,0.36123,0.52877,0.65013,0.61615,0.63776,0.24754,0.7727999999999999,1.7901664703999998,0.0,3.73e-05,5e-06,1.98e-20,3.1,3.1
118.6,3.1499,1.7505,2.6518,58.079,0.85405,0.85373,0.85389,0.53846,0.31622,0.46242,0.64587,0.6119,0.63349,0.25034,0.7712000000000001,1.5771565649920005,0.0,3.98e-05,5e-06,2.101e-20,3.1,3.1
118.8,2.6705,1.4855,2.2486,58.079,0.85601,0.8557,0.85586,0.45123,0.26531,0.38762,0.64162,0.60765,0.62923,0.2532,0.7696000000000001,1.3318101621760001,0.0,4.26e-05,5e-06,2.239e-20,3.1,3.1
119.0,2.148,1.1962,1.8089,58.079,0.85796,0.85765,0.85781,0.35873,0.21124,0.30826,0.63737,0.6034,0.62496,0.25613,0.768,1.0669326336,0.0,4.58e-05,5e-06,2.399e-20,3.1,3.1
119.2,1.6128,0.9001,1.3588,58.079,0.85988,0.85957,0.85973,0.26623,0.15717,0.2289,0.63311,0.59915,0.62069,0.25913,0.7682,0.8018703289119999,0.0,4.94e-05,5e-06,2.586e-20,3.1,3.1
119.4,3.5702,1.5961,2.9044,58.079,0.86124,0.86094,0.86109,0.58362,0.2761,0.48461,0.62886,0.5949,0.61642,0.26219,0.7684,1.7148697536639999,0.0,5.35e-05,5e-06,2.809e-20,3.1,3.1
119.6,4.0566,1.7738,3.2908,58.079,0.86258,0.86229,0.86244,0.6567,0.30397,0.54383,0.62461,0.59065,0.61216,0.26532,0.7686000000000001,1.9440268051680003,0.0,5.85e-05,5e-06,3.076e-20,3.1,3.1
119.8,4.5525,1.9547,3.6843,58.079,0.86392,0.86363,0.86377,0.72979,0.33184,0.60304,0.62036,0.5864,0.60789,0.26852,0.7688,2.177618188992,0.0,6.45e-05,5e-06,3.404e-20,3.1,3.1
120.0,4.8088,2.0291,3.8836,58.079,0.86524,0.86495,0.8651,0.76338,0.34124,0.62955,0.6161,0.58215,0.60362,0.27178,0.769,2.2966095796,0.0,7.21e-05,5e-06,3.815e-20,3.1,3.1
120.2,4.8186,1.9938,3.8826,58.079,0.86656,0.86627,0.86642,0.75747,0.33218,0.62336,0.61185,0.5779,0.59935,0.2751,0.7684,2.2924367530559997,0.0,8.19e-05,5e-06,4.346e-20,3.1,3.1
120.4,4.8279,1.9578,3.8811,58.079,0.86787,0.86759,0.86773,0.75156,0.32312,0.61717,0.6076,0.57365,0.59508,0.27848,0.7678,2.287973807724,0.0,9.59e-05,5e-06,5.056e-20,3.1,3.1
