Wave,Read Noise,Sky,Dark,BEF,Aeff,Disp_Width,XDisp_Width
478.00000000000136,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
478.1000000000014,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
478.2000000000014,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
478.30000000000143,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
478.40000000000146,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
478.5000000000015,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
478.6000000000015,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
478.7000000000015,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
478.80000000000155,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
478.90000000000157,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
479.0000000000016,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
479.1000000000016,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
479.20000000000164,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
479.30000000000166,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
479.4000000000017,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
479.5000000000017,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
479.6000000000017,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
479.70000000000175,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
479.8000000000018,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
479.9000000000018,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
480.0000000000018,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
480.10000000000184,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
480.20000000000186,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
480.3000000000019,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
480.4000000000019,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
480.50000000000193,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
480.60000000000196,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
480.700000000002,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
480.800000000002,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
480.900000000002,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
481.00000000000205,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
481.10000000000207,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
481.2000000000021,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
481.3000000000021,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
481.40000000000214,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
481.50000000000216,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
481.6000000000022,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
481.7000000000022,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
481.8000000000022,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
481.90000000000225,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
482.0000000000023,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
482.1000000000023,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
482.2000000000023,0,2.32e-08,5e-06,5.65e-20,0.1464234449551933,3.1,3.1
